timestamp,symbol,bid,ask,bid_size,ask_size,exchange,conditions,data_source
2025-10-10T19:14:29.488Z,SPY,656.63,656.65,8,1,,,stock_quote
2025-10-10T19:14:29.490Z,SPY,656.64,656.65,1,1,,,stock_quote
2025-10-10T19:14:29.491Z,SPY,656.64,656.65,1,1,,,stock_quote
2025-10-10T19:14:29.583Z,SPY,656.63,656.65,7,2,,,stock_quote
2025-10-10T19:14:29.604Z,SPY,656.63,656.65,7,3,,,stock_quote
2025-10-10T19:14:29.606Z,SPY,656.63,656.65,6,3,,,stock_quote
2025-10-10T19:14:29.606Z,SPY,656.63,656.64,5,5,,,stock_quote
2025-10-10T19:14:29.613Z,SPY,656.63,656.64,5,8,,,stock_quote
2025-10-10T19:14:29.654Z,SPY,656.63,656.64,5,5,,,stock_quote
2025-10-10T19:14:29.662Z,SPY,656.63,656.64,4,1,,,stock_quote
2025-10-10T19:14:29.717Z,SPY,656.63,656.65,3,3,,,stock_quote
2025-10-10T19:14:29.720Z,SPY,656.63,656.65,3,4,,,stock_quote
2025-10-10T19:14:29.720Z,SPY,656.63,656.65,2,5,,,stock_quote
2025-10-10T19:14:29.730Z,SPY,656.63,656.64,3,5,,,stock_quote
2025-10-10T19:14:29.734Z,SPY,656.63,656.65,3,5,,,stock_quote
2025-10-10T19:14:29.742Z,SPY,656.63,656.65,3,6,,,stock_quote
2025-10-10T19:14:29.811Z,SPY,656.63,656.65,3,5,,,stock_quote
2025-10-10T19:14:29.815Z,SPY,656.63,656.65,3,5,,,stock_quote
2025-10-10T19:14:29.823Z,SPY,656.63,656.65,4,5,,,stock_quote
2025-10-10T19:14:29.825Z,SPY,656.63,656.65,5,5,,,stock_quote
2025-10-10T19:14:29.826Z,SPY,656.63,656.65,5,5,,,stock_quote
2025-10-10T19:14:29.849Z,SPY,656.63,656.65,4,3,,,stock_quote
2025-10-10T19:14:29.858Z,SPY,656.63,656.65,4,3,,,stock_quote
2025-10-10T19:14:29.865Z,SPY,656.63,656.65,4,4,,,stock_quote
2025-10-10T19:14:29.884Z,SPY,656.63,656.65,4,3,,,stock_quote
2025-10-10T19:14:29.892Z,SPY,656.63,656.65,5,2,,,stock_quote
2025-10-10T19:14:29.964Z,SPY,656.63,656.65,5,2,,,stock_quote
2025-10-10T19:14:29.986Z,SPY,656.63,656.65,6,2,,,stock_quote
2025-10-10T19:14:30.007Z,SPY,656.64,656.66,3,5,,,stock_quote
